
> backend@1.0.0 test
> jest --testMatch '**/?(*.)+(test).ts'

GET /days/Trip23cd731c-2758-4e8d-be35-e4bdc5305697 200
GET /days/Trip23cd731c-2758-4e8d-be35-e4bdc5305697/Split40db7f76-8465-4945-8c4c-91be3a6a7d0d 200
GET /days/Trip23cd731c-2758-4e8d-be35-e4bdc5305697/Split24a52fca-f8fe-4f71-a900-dc1a0b6a121c/Day7c281792-ce19-424f-b98e-f8f3c35cf5ca 200
GET /days/Trip23cd731c-2758-4e8d-be35-e4bdc5305697/Split40db7f76-8465-4945-8c4c-91be3a6a7d0d/Day3c92e84a-a8d0-4990-9a62-82cc2d736034 200
GET /days/Trip23cd731c-2758-4e8d-be35-e4bdc5305697/Split40db7f76-8465-4945-8c4c-91be3a6a7d0d/Day2f92e6b7-ece1-410b-a7a6-f35e5c1373c0 200
PUT /days/update/Trip23cd731c-2758-4e8d-be35-e4bdc5305697/Split40db7f76-8465-4945-8c4c-91be3a6a7d0d/Day2f92e6b7-ece1-410b-a7a6-f35e5c1373c0 200
GET /days/Trip23cd731c-2758-4e8d-be35-e4bdc5305697/Split40db7f76-8465-4945-8c4c-91be3a6a7d0d/Day2f92e6b7-ece1-410b-a7a6-f35e5c1373c0 200
DELETE /days/remove/Trip23cd731c-2758-4e8d-be35-e4bdc5305697/Split40db7f76-8465-4945-8c4c-91be3a6a7d0d/Day2f92e6b7-ece1-410b-a7a6-f35e5c1373c0 200
GET /days/Trip23cd731c-2758-4e8d-be35-e4bdc5305697/Split40db7f76-8465-4945-8c4c-91be3a6a7d0d/Day2f92e6b7-ece1-410b-a7a6-f35e5c1373c0 403
POST /trips/new 200
POST /splits/new/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1 200
POST /days/new/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a 200
POST /itinearies/new/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a/Daye9b2438d-f80b-4828-9591-0be8918f4dea 200
POST /itinearies/new/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a/Daye9b2438d-f80b-4828-9591-0be8918f4dea 200
POST /itinearies/new/Tripa19f0616-6776-4b1a-91d3-742e4b898ea1/Split512d0fcf-61cc-49d9-ae40-554ced1feb3a/Daye9b2438d-f80b-4828-9591-0be8918f4dea 200
